4:8:i;10:4:b;8:12:v;2:4:h;0:2:r;12:11:d
3:1:s;13:1:g;7:12:u;1:8:o;8:8:y;10:11:s
4:5:x;12:0:d;4:11:f;1:4:y;1:5:j;12:13:d
6:8:p;10:0:z;5:11:s;2:4:a;2:8:t;11:10:t
3:7:u;11:2:h;6:13:n;9:4:b;2:3:p;10:13:p
4:9:h;14:7:r;8:12:p;0:8:f;9:2:y;10:10:t
8:2:w;13:8:f;6:13:m;7:9:e;0:7:x;10:11:c
8:0:m;14:2:b;8:14:a;7:2:e;0:2:e;12:11:a
1:7:w;13:7:i;2:13:x;3:0:f;6:0:n;11:10:s
1:7:s;14:6:r;6:14:n;0:2:s;9:2:f;12:13:d
1:0:t;14:4:m;5:12:i;7:3:m;4:5:z;13:12:e
1:5:h;12:1:m;5:13:d;6:5:t;3:5:k;10:13:i
5:7:k;10:1:m;4:10:t;2:3:t;9:0:d;13:13:v
9:3:y;12:2:l;7:14:n;1:8:e;9:2:h;10:12:x
1:7:o;13:1:r;1:11:s;1:1:r;3:0:w;14:11:s
5:1:f;10:0:k;6:11:k;0:6:h;0:1:o;10:12:g
0:0:l;14:4:x;4:10:v;8:0:w;8:9:y;10:11:y
5:3:t;13:0:o;0:11:w;6:9:l;8:9:c;13:10:b
2:4:h;14:2:u;2:11:r;1:3:q;9:1:z;13:14:y
9:7:z;14:2:d;3:14:w;3:7:m;6:5:s;13:14:z
1:8:n;14:0:k;7:13:y;1:9:l;1:1:b;13:10:q
5:3:b;10:5:q;3:13:p;0:5:t;7:3:w;13:12:y
5:5:h;13:1:y;1:12:r;1:3:d;9:5:a;10:14:z
5:5:y;14:1:p;1:12:e;5:5:z;5:0:z;14:11:d
5:6:o;11:6:s;7:11:m;0:5:n;6:7:i;11:12:l
1:4:b;11:3:v;0:12:l;7:5:p;7:6:d;14:11:m
3:5:m;12:8:h;5:14:c;7:6:v;8:7:i;14:10:g
7:0:m;13:9:a;7:11:f;1:2:f;3:2:j;11:10:x
1:1:e;14:0:e;5:14:c;5:7:f;9:8:o;12:14:a
3:0:u;13:1:u;5:14:r;3:1:x;1:2:a;14:10:x
2:2:h;12:4:w;4:14:t;6:9:n;0:5:c;11:11:l
4:0:p;14:6:t;9:11:y;6:6:s;4:9:j;12:14:v
9:5:g;11:3:s;2:10:o;1:6:j;8:5:k;11:12:m
1:3:f;11:4:z;5:12:m;7:6:o;6:8:b;12:11:v
7:9:a;10:0:y;9:12:l;6:8:f;7:0:e;14:14:a
2:0:b;12:8:s;3:10:h;6:5:o;0:7:b;11:12:n
2:4:g;10:0:e;8:14:p;9:1:n;5:7:x;13:14:d
3:3:s;11:7:o;7:10:d;5:0:j;5:5:c;14:10:x
7:2:v;10:4:v;7:10:j;8:1:x;3:8:x;12:12:w
0:9:a;10:5:q;2:14:j;8:2:u;6:6:i;14:13:h
9:3:b;11:6:g;0:10:q;6:1:z;1:8:m;11:14:u
5:0:p;10:2:k;7:11:k;8:5:j;9:2:g;12:10:u
8:3:v;12:7:a;4:11:o;6:6:s;9:0:p;11:14:z
4:2:g;13:7:u;9:14:u;4:2:b;7:7:o;11:11:e
4:8:d;14:2:l;0:14:o;5:0:f;1:7:r;14:10:k
4:5:g;10:6:y;2:14:t;3:7:o;6:3:k;11:13:b
1:5:r;10:0:a;3:11:o;7:4:m;5:3:r;13:10:h
3:1:u;13:6:k;0:14:f;8:0:w;6:3:b;11:10:i
7:7:h;12:7:u;1:12:c;7:2:w;0:9:x;11:10:s
6:1:j;10:1:u;7:13:o;3:4:u;8:5:m;10:14:i
6:9:f;12:3:q;1:10:d;9:8:y;6:9:z;13:10:n
0:1:l;14:8:b;6:10:w;1:7:d;3:8:x;10:10:i
7:2:r;14:6:t;4:11:u;8:5:m;7:0:n;13:11:s
4:9:c;13:2:x;7:13:e;4:1:d;9:7:c;14:12:s
4:2:g;13:7:h;3:11:j;5:5:v;7:9:r;14:10:b
5:2:l;12:1:x;7:10:n;3:9:u;0:3:u;14:14:h
4:7:s;12:6:x;3:14:s;5:9:z;2:3:p;11:12:h
6:2:x;14:5:n;5:12:w;5:2:l;6:0:t;10:14:v
6:8:u;13:5:a;0:14:h;1:1:v;9:8:m;13:11:r
2:8:s;10:2:a;8:13:v;9:3:v;6:1:j;10:10:j
1:6:p;14:6:c;9:14:m;1:1:x;8:7:s;10:13:v
9:6:f;10:6:k;0:10:l;5:5:y;8:9:v;14:12:n
2:9:u;14:8:t;8:12:k;2:1:f;2:9:n;11:12:i
5:3:r;13:6:f;2:12:f;3:7:i;7:3:q;10:14:s
1:3:d;14:2:d;4:11:l;7:2:e;0:9:x;14:11:h
8:4:b;14:3:f;6:12:u;2:1:a;1:1:h;12:10:c
1:0:x;13:2:p;7:14:z;7:4:h;9:3:r;12:10:p
0:5:o;13:7:r;3:11:f;9:3:m;8:8:h;14:12:h
5:3:n;13:0:u;5:12:z;8:5:s;1:7:u;10:10:k
3:2:i;11:8:j;7:11:s;9:7:l;1:0:w;11:11:o
8:2:d;10:4:d;2:11:z;0:9:t;2:5:j;14:13:f
1:4:e;10:7:c;0:13:g;8:7:h;0:1:s;10:12:v
5:5:c;11:1:h;5:14:e;4:1:x;1:2:g;10:12:z
2:9:y;14:2:f;3:10:v;8:6:h;1:7:p;12:14:b
5:7:q;13:1:j;6:14:g;2:8:q;4:2:n;13:14:g
5:3:j;12:5:v;4:10:x;2:6:s;8:2:m;14:10:k
6:8:l;13:3:j;5:14:c;9:0:v;2:9:r;12:11:b
3:5:x;14:9:o;6:11:j;9:2:v;1:7:l;14:13:e
7:5:k;10:3:n;9:14:b;1:2:p;0:1:t;11:14:y
0:8:v;10:0:e;9:11:g;2:3:m;0:4:u;10:10:x
8:1:l;12:7:i;6:13:k;1:7:q;4:2:e;11:13:v
4:4:p;13:0:n;5:12:j;8:3:g;3:6:o;12:11:n
6:4:r;10:2:a;5:12:u;3:4:e;9:3:t;12:14:n
3:5:y;14:5:q;8:14:j;5:2:p;0:7:j;13:12:a
6:6:g;14:0:a;9:13:j;9:2:w;7:4:e;10:11:y
6:7:e;13:1:p;4:10:p;4:4:o;1:3:x;11:13:s
5:8:i;11:2:r;3:13:k;5:1:w;1:8:t;14:14:r
2:9:e;13:9:b;6:14:r;7:8:w;5:8:m;12:10:j
6:4:m;12:3:h;5:12:w;5:9:h;1:2:d;10:10:e
6:1:q;13:0:e;8:11:q;9:6:h;2:7:w;12:13:q
0:2:x;10:6:q;8:12:s;1:3:m;1:3:i;14:10:o
3:4:h;13:2:m;8:13:d;7:1:v;6:4:k;13:12:e
2:2:b;11:0:g;7:11:g;3:4:f;1:2:a;12:12:m
3:2:o;11:1:w;0:10:j;5:1:t;1:9:b;12:11:y
1:8:d;14:8:a;9:14:g;5:0:e;3:5:o;10:10:a
8:0:q;13:9:y;9:12:k;9:4:u;2:6:j;11:10:a
4:6:b;13:0:v;5:14:v;6:5:r;4:8:m;11:11:q
4:6:o;12:6:p;8:13:h;9:2:k;6:6:g;12:14:f
7:9:w;14:0:e;5:10:k;3:6:m;6:1:q;10:13:l
2:3:r;14:3:t;9:10:f;5:0:b;7:2:k;11:13:b
5:3:q;13:2:e;0:14:b;6:2:l;2:4:z;13:12:d
0:7:y;12:2:j;8:11:b;9:7:u;8:3:m;11:14:h
0:9:u;14:7:u;1:10:b;4:4:e;5:3:r;14:12:v
2:6:c;14:6:b;6:13:e;2:3:w;2:6:d;11:10:y
8:6:n;12:9:o;7:14:n;3:2:g;9:4:t;10:13:r
8:3:z;13:1:o;9:13:f;9:6:q;5:8:f;12:14:l
5:2:f;10:1:t;1:13:i;8:0:n;1:8:v;13:13:w
2:5:z;12:3:d;1:11:j;1:2:w;5:6:q;13:14:l
9:7:h;10:9:j;9:12:w;4:1:p;9:5:d;11:11:k
9:5:q;10:2:p;1:11:g;2:1:g;6:4:o;10:11:w
8:5:z;10:6:c;4:11:y;2:4:l;5:7:o;12:13:h
0:6:c;11:3:j;6:12:z;5:1:u;7:8:k;11:10:s
0:5:u;10:8:f;2:12:b;7:9:d;0:9:f;11:12:n
2:6:v;10:1:b;5:10:s;5:8:e;2:8:l;13:11:s
8:2:a;14:6:l;5:14:o;2:7:u;2:2:o;10:13:w
1:2:s;14:0:l;5:12:u;2:5:f;8:3:o;12:10:l
6:2:q;12:6:i;8:13:s;7:2:u;7:5:c;12:11:x
4:8:k;11:2:u;9:14:d;0:7:z;1:4:u;12:14:w
4:1:n;10:3:i;1:12:g;2:4:t;1:5:q;10:12:y
0:4:g;11:9:m;6:13:z;7:5:e;4:8:a;11:10:l
0:5:b;13:8:l;5:13:y;6:6:k;5:8:g;12:10:e
0:2:o;12:7:f;2:11:b;1:1:j;2:1:h;11:12:k
8:2:u;12:8:n;9:13:k;6:2:p;3:0:i;11:14:o
1:6:h;10:7:c;0:13:u;6:4:q;2:3:c;14:10:i
8:1:m;10:3:q;0:11:k;7:5:i;5:7:e;11:10:q
9:6:g;13:4:i;7:13:j;7:4:b;2:3:q;14:14:j
7:4:c;12:2:v;4:12:p;4:6:w;1:3:h;10:10:t
2:5:l;11:1:h;6:13:u;2:3:c;5:8:a;12:14:l
6:3:y;13:1:o;5:13:q;3:9:h;8:2:r;12:14:c
5:9:w;14:8:v;3:13:r;1:8:l;4:5:i;10:10:o
1:7:q;11:0:y;0:14:m;4:7:v;2:5:x;12:11:w
7:5:a;10:7:c;6:14:h;9:9:j;1:5:d;14:13:o
0:9:h;13:1:f;4:14:m;5:9:b;1:1:t;13:12:f
7:5:n;13:4:z;1:12:n;1:9:s;8:9:v;11:12:l
6:0:m;12:2:q;3:12:w;0:7:i;8:3:k;13:12:j
3:1:c;12:8:y;3:12:c;3:5:h;5:9:y;12:12:k
1:5:x;11:0:m;4:13:d;2:2:g;6:2:a;12:14:s
7:5:t;13:2:a;9:12:j;0:4:j;5:8:b;14:14:i
0:8:g;10:8:e;8:12:r;2:9:o;0:9:m;13:14:y
1:1:v;10:0:k;4:13:x;6:0:p;5:8:a;11:10:v
6:6:p;13:1:k;2:10:e;8:5:o;7:7:c;10:14:e
1:9:s;12:2:y;1:12:l;1:7:g;8:1:x;13:12:z
9:2:a;13:8:t;4:13:j;3:3:d;6:3:e;12:12:y
5:5:l;14:3:w;5:11:c;4:2:r;5:7:x;13:14:r
8:4:z;12:4:h;5:11:w;7:8:d;6:4:g;14:12:b
2:7:r;11:5:u;6:12:o;3:6:c;4:3:o;14:13:s
7:0:n;11:2:n;2:13:a;3:0:i;2:3:i;11:13:p
6:9:l;12:8:n;3:13:e;8:7:t;9:6:e;10:10:g
4:7:d;14:4:p;1:12:j;6:7:e;7:3:x;13:13:c
5:9:v;13:9:p;2:14:y;0:7:z;3:9:s;11:13:r
8:2:k;14:9:p;1:11:j;8:1:m;0:1:i;10:14:s
8:6:l;14:6:w;5:14:k;4:0:e;9:7:y;10:13:s
1:7:p;11:0:i;5:11:f;5:9:q;3:6:d;14:11:s
1:3:w;12:2:d;4:14:x;0:1:w;0:5:r;11:10:x
0:8:y;14:4:b;1:14:n;2:9:k;2:1:y;14:10:m
6:4:w;14:8:g;7:10:l;2:6:g;4:9:a;13:10:d
0:5:e;12:9:o;8:14:q;4:0:e;8:1:b;10:12:o
9:2:i;11:3:m;9:14:a;9:0:d;4:5:c;10:11:j
4:1:b;10:5:k;2:10:t;6:8:c;7:3:y;14:14:v
6:2:q;12:6:l;1:11:p;9:7:y;6:8:f;13:10:a
7:1:s;14:4:l;6:14:k;7:2:r;7:5:s;12:12:s
6:9:s;10:8:h;5:13:v;0:3:w;9:2:q;11:11:i
4:3:w;13:6:n;1:11:k;7:0:y;9:9:g;12:13:o
2:1:y;10:3:e;3:11:l;1:2:j;7:7:k;14:14:p
8:2:x;13:1:r;0:12:e;1:5:m;0:5:k;11:13:d
5:8:t;12:0:x;5:13:f;0:4:e;5:7:w;13:11:z
9:9:m;13:6:g;4:11:m;7:5:o;6:6:q;13:13:l
4:4:d;10:3:j;1:13:x;4:1:f;7:9:f;13:14:r
9:4:o;12:0:t;0:13:n;4:4:x;4:9:d;14:11:b
5:0:n;11:3:y;3:11:e;7:3:o;6:1:z;12:10:p
4:7:k;13:3:k;3:10:d;5:7:t;5:4:i;12:13:i
8:2:r;12:9:i;1:11:y;1:9:t;4:3:w;10:10:g
3:8:d;12:7:y;2:12:u;0:0:m;6:4:p;14:12:d
3:5:k;13:8:k;9:12:n;7:2:w;4:0:p;14:13:i
0:4:k;12:5:z;9:11:o;2:3:p;0:9:g;12:14:q
8:6:z;14:7:w;1:10:b;8:7:f;2:7:s;14:12:u
4:0:v;13:8:o;4:13:e;7:9:y;6:8:v;10:12:i
1:6:z;11:9:o;5:10:k;1:4:q;8:3:k;12:11:k
8:2:f;12:8:x;5:14:u;3:4:m;8:8:w;10:11:w
5:6:s;10:8:q;5:13:n;1:9:k;0:8:y;11:10:j
5:6:y;12:4:b;3:14:m;4:7:i;0:0:c;14:10:b
7:5:w;10:8:q;2:11:j;9:7:y;4:4:i;11:10:g
1:2:k;11:8:h;7:12:p;4:5:j;1:4:m;13:10:g
6:5:l;14:8:u;9:12:d;4:8:c;2:7:j;10:11:o
1:3:x;12:2:q;8:11:l;4:5:v;9:6:t;12:12:o
3:0:r;12:6:i;5:11:f;7:4:b;7:4:q;11:14:i
5:9:m;14:8:l;0:13:v;2:7:j;8:2:b;13:14:t
0:7:s;12:7:s;2:10:x;2:6:s;4:0:n;13:11:m
6:8:b;11:4:n;5:14:w;2:3:u;6:2:v;12:12:r
5:7:v;14:1:m;6:14:k;2:0:b;1:5:l;11:11:u
7:7:s;11:2:q;0:10:z;8:8:q;0:1:h;13:10:x
8:6:s;10:1:g;1:12:x;2:4:r;6:6:e;11:11:y
8:3:x;11:8:l;1:10:b;0:0:d;6:3:s;14:12:z
9:3:q;14:5:v;1:13:g;7:7:f;3:3:e;11:11:v
5:6:q;13:9:i;1:11:y;4:6:x;4:2:l;14:14:m
2:4:p;12:7:p;8:10:u;6:6:f;4:3:h;11:13:z
2:1:e;14:1:p;4:11:u;8:0:b;6:3:i;11:14:r
3:5:f;13:3:x;1:10:i;5:0:y;1:9:e;14:10:w
1:4:r;12:5:i;7:11:v;2:4:q;2:0:m;14:10:i
7:0:o;14:0:m;8:13:b;0:8:h;9:5:n;13:13:s
9:6:r;13:2:m;8:14:e;2:4:h;4:2:h;14:10:h
3:7:v;11:4:i;0:14:g;3:1:z;3:4:l;10:10:o
2:2:g;14:9:m;1:13:s;2:5:g;7:9:z;11:13:i
7:2:x;14:9:z;0:13:t;1:6:p;2:5:j;14:13:q
0:9:z;10:8:y;5:12:h;8:0:o;7:4:l;14:13:l
1:7:w;12:4:l;3:14:s;9:7:e;5:7:j;13:10:e
1:8:y;10:8:c;9:10:k;8:5:d;1:8:i;14:11:y
0:2:l;12:2:w;0:11:m;0:8:b;4:5:r;14:10:d
9:1:g;10:7:q;4:10:u;0:8:s;7:4:y;10:13:s
4:8:n;12:5:l;1:13:p;9:1:y;2:2:z;10:10:m
8:3:d;11:2:b;7:12:v;2:6:o;1:8:g;10:14:p
7:1:p;14:1:f;4:11:b;8:1:l;1:9:h;14:12:y
6:1:k;11:4:p;8:12:c;5:8:z;1:4:z;10:10:v
8:1:u;11:6:a;8:10:c;4:3:q;7:9:l;11:10:x
1:9:a;12:1:z;2:13:q;9:0:f;8:8:e;11:13:a
4:6:k;14:3:v;4:12:m;6:4:h;8:2:a;10:14:f
1:5:g;11:5:x;6:13:k;7:5:r;3:1:v;12:10:i
3:0:p;10:0:o;4:14:r;3:3:j;5:7:f;10:11:s
7:8:d;14:3:k;1:14:i;7:8:u;5:1:c;14:13:e
0:6:m;13:0:o;9:14:y;1:9:g;9:2:e;11:14:e
5:2:k;12:8:w;0:12:u;6:9:a;7:6:q;14:12:g
7:2:q;14:9:j;4:11:p;4:3:a;2:2:k;14:14:m
2:0:n;14:7:k;6:12:v;0:1:t;8:1:e;14:12:v
3:9:j;11:2:a;3:13:y;0:4:k;7:4:x;11:13:i
6:9:n;10:3:d;1:14:k;7:1:f;0:4:f;10:14:s
2:5:o;12:2:n;0:14:p;3:0:s;8:5:t;11:14:d
0:0:s;12:2:h;2:10:t;9:6:x;7:4:q;14:12:s
9:1:a;13:6:u;7:10:l;6:6:n;6:0:j;13:11:t
1:5:n;14:2:h;1:12:x;2:4:w;7:3:y;14:14:f
4:1:u;13:4:s;2:12:t;6:4:y;7:1:f;13:14:h
0:6:c;11:8:l;1:13:c;3:6:k;8:2:f;11:14:j
1:0:g;13:9:c;5:10:k;0:0:v;8:2:j;12:12:z
2:5:l;13:6:g;6:11:q;4:7:f;2:8:w;11:10:c
2:7:u;13:8:a;5:11:j;1:9:z;5:6:d;13:13:m
0:5:e;12:5:q;1:14:s;9:5:y;9:3:v;11:14:z
7:1:f;13:5:u;1:14:a;1:5:y;0:5:g;13:14:k
6:2:g;14:6:a;2:13:i;0:1:v;0:6:a;11:12:t
4:1:p;13:9:q;9:11:n;6:9:j;8:9:m;11:11:h
5:9:z;14:8:n;7:10:b;4:7:q;7:5:h;11:14:f
1:2:n;10:7:f;8:12:x;4:4:s;9:0:g;10:12:t
7:2:d;12:6:i;8:10:p;0:9:i;6:0:b;10:11:w
4:4:w;10:9:i;2:14:o;8:8:n;0:0:d;13:10:n
8:9:f;10:0:p;0:12:g;5:2:j;8:4:f;12:14:u
6:2:o;11:4:b;9:10:c;9:4:z;2:6:p;11:12:d
5:3:r;10:5:l;7:14:u;4:4:m;1:8:n;13:11:w
6:7:q;10:7:c;2:14:e;8:5:g;3:2:s;11:14:v
6:7:t;12:6:u;6:12:x;5:1:z;7:0:s;12:10:t
4:1:h;10:1:c;7:10:q;5:1:z;3:6:o;13:10:b
7:0:z;14:6:b;0:14:p;4:7:l;0:2:l;14:13:o
2:6:x;14:8:y;4:13:e;6:4:k;4:2:f;11:12:l
5:7:g;13:3:h;1:11:w;1:0:b;2:5:l;10:11:z
8:9:w;12:1:s;2:14:i;2:5:i;7:9:x;13:11:m
1:4:g;14:3:b;0:12:s;4:6:x;5:8:v;12:14:z
3:0:w;13:5:g;0:12:v;3:6:i;1:5:n;11:13:p
2:5:x;14:7:w;2:10:j;8:3:t;5:5:v;12:12:u
0:6:e;14:5:o;2:10:v;2:6:m;0:9:d;11:13:l
2:0:x;12:6:w;0:11:v;9:9:o;8:8:y;14:14:u
1:3:b;11:0:a;9:11:f;9:7:m;8:5:t;12:13:y
5:1:w;14:2:l;6:13:h;6:2:j;3:9:y;10:13:h
6:1:j;11:8:q;6:11:p;1:2:w;9:2:t;13:13:f
2:4:x;14:5:p;8:13:n;7:4:k;9:9:h;14:12:u
6:5:m;13:1:x;6:14:l;3:6:g;0:8:u;13:14:f
1:5:t;11:9:j;9:13:g;3:0:u;9:1:e;14:11:k
5:4:e;12:3:o;9:10:a;6:8:k;2:6:z;10:14:d
4:7:y;13:0:w;5:13:c;4:9:b;7:0:s;10:10:w
0:3:b;12:4:a;3:13:z;8:0:q;2:5:w;10:12:d
6:0:s;14:9:k;9:11:u;0:2:r;2:2:u;14:12:v
5:6:f;13:2:i;0:10:m;9:1:u;7:9:d;11:12:x
6:7:y;13:3:m;4:12:l;2:0:s;6:5:x;11:11:l
0:1:w;12:2:n;9:11:v;7:4:o;6:8:t;11:10:m
9:4:c;10:3:g;2:11:g;3:5:g;8:8:r;11:13:f
0:0:j;11:4:m;1:13:f;4:6:s;0:4:o;10:10:p
5:2:k;11:0:j;7:13:j;3:4:u;7:7:x;11:14:n
2:6:m;14:0:k;8:13:h;1:2:a;2:6:l;12:12:a
3:4:s;11:0:k;0:10:o;9:5:q;0:1:o;10:14:y
6:5:c;14:6:s;7:10:c;0:8:x;3:3:n;12:10:v
0:8:i;14:7:m;4:11:n;9:6:w;8:2:d;10:11:e
3:2:l;14:2:t;7:12:y;1:8:p;7:1:f;11:14:l
7:5:z;11:5:d;8:13:b;4:7:c;2:7:x;13:10:s
0:4:n;13:2:g;7:12:u;6:4:t;9:2:m;12:10:i
6:8:r;12:7:m;3:11:n;1:0:v;4:7:t;13:11:j
5:5:o;10:0:y;8:14:n;8:3:n;2:9:f;13:12:n
5:8:y;10:1:f;3:14:b;6:4:z;4:1:d;12:13:i
7:6:h;10:8:f;0:14:h;6:1:o;8:3:i;11:12:h
2:0:t;13:9:d;6:11:y;9:5:b;2:4:g;10:11:q
1:7:v;14:6:y;6:14:s;6:1:r;0:8:x;14:14:b
9:7:h;11:3:k;2:11:n;5:9:y;2:4:q;11:14:p
6:8:o;10:0:g;2:12:f;4:7:r;7:8:d;12:13:w
7:9:q;11:0:f;5:13:d;1:9:f;5:1:e;10:14:w
8:4:s;13:1:t;0:10:e;5:8:u;1:4:w;13:13:r
8:5:p;13:7:t;4:12:y;4:9:s;3:4:h;13:11:v
5:2:i;13:4:e;0:11:s;5:4:e;2:5:s;13:11:k
0:9:o;10:9:f;5:13:z;5:8:b;0:5:y;10:11:w
7:5:o;12:9:p;6:11:n;4:2:f;9:2:c;14:13:g
1:2:x;13:8:d;3:13:k;1:1:a;7:4:i;12:13:p
8:0:k;14:8:e;3:12:g;6:8:z;2:5:q;10:11:s
5:0:v;10:8:u;1:14:d;7:5:l;4:7:z;13:12:h
7:2:k;12:1:x;3:14:s;8:0:r;4:2:r;11:13:j
2:4:p;10:8:r;2:11:h;0:1:j;9:4:o;12:14:w
4:9:i;10:3:z;4:12:p;2:7:p;1:4:z;12:11:k
3:7:u;10:2:a;1:10:q;5:7:h;9:5:f;10:10:g
6:8:s;14:9:h;2:12:r;3:2:u;7:6:o;11:11:o
0:6:x;10:7:t;1:11:c;3:1:i;2:2:b;10:14:s
1:5:w;10:9:g;4:12:e;9:6:h;3:9:u;10:12:c
6:5:z;10:9:e;0:11:c;2:9:y;3:3:m;13:12:j
6:8:h;12:2:g;4:12:q;9:0:k;4:8:e;12:12:w
9:9:p;12:4:m;0:14:m;3:2:l;5:2:d;13:10:x
1:6:h;12:0:q;4:14:c;4:1:w;8:3:e;11:10:f
9:9:b;10:4:n;9:14:j;8:8:a;0:4:x;11:13:x
8:4:n;14:7:g;6:10:r;4:0:t;8:3:u;11:13:i
8:3:f;14:2:u;1:10:x;2:7:s;1:9:r;10:11:h
8:3:s;10:1:c;7:13:x;3:7:w;9:9:l;14:14:j
9:6:t;11:6:u;6:11:g;9:0:o;0:7:j;11:12:s
7:8:k;11:1:d;6:11:c;9:3:y;7:4:x;11:13:m
5:1:u;10:0:x;1:12:t;7:3:h;0:0:w;13:11:f
5:1:e;13:8:a;3:14:m;4:1:k;2:6:k;11:12:j
7:1:k;12:8:e;0:13:a;4:4:v;1:9:l;11:14:b
2:4:o;10:9:q;7:10:t;5:5:u;0:9:e;13:13:u
7:6:u;13:9:w;4:11:s;9:9:x;9:1:v;13:12:q
1:9:y;12:6:j;7:11:w;1:0:g;3:6:w;11:11:i
4:9:d;12:1:t;3:14:u;5:3:q;4:0:a;12:10:s
3:4:g;14:0:y;8:12:z;2:2:q;0:2:h;12:10:r
6:5:c;10:1:a;5:12:n;2:3:r;7:7:i;14:10:q
4:2:v;11:8:a;9:12:l;3:1:n;0:6:y;10:11:z
1:7:x;13:2:y;3:11:g;0:7:v;1:3:f;11:12:r
4:4:r;14:0:d;8:12:h;9:9:f;0:4:d;14:12:r
6:2:n;11:7:t;4:12:i;4:1:v;3:5:z;10:13:r
2:5:i;10:5:p;5:12:y;6:9:t;6:3:k;12:12:l
9:8:h;13:1:e;7:10:u;1:1:m;8:0:p;12:12:w
5:3:u;14:9:m;3:13:q;4:2:r;8:5:o;13:10:m
3:8:z;10:7:w;0:13:j;1:8:m;3:6:j;14:12:z
5:9:v;13:1:a;6:10:h;6:7:z;1:9:a;12:13:d
5:0:x;12:6:q;1:14:b;4:1:b;8:6:o;13:11:p
3:8:a;11:4:x;1:12:y;6:3:g;8:5:o;10:10:z
1:4:a;10:7:l;1:14:n;2:1:y;6:4:t;12:12:d
8:9:c;13:0:o;2:13:j;0:3:l;8:8:q;12:14:x
3:1:b;13:8:e;2:11:b;9:3:q;2:4:z;11:14:b
6:3:d;11:5:g;2:13:q;2:9:i;3:2:t;11:14:w
6:8:v;14:7:z;4:11:d;4:7:i;6:0:k;13:14:a
6:9:o;13:0:w;0:11:c;4:5:n;6:8:i;10:11:i
1:3:k;10:6:g;9:13:h;2:5:w;5:0:q;11:11:u
9:3:i;12:0:c;5:14:p;9:3:k;5:7:z;13:11:l
3:7:j;13:9:n;0:13:e;9:2:s;3:8:q;13:14:j
4:8:f;10:3:s;2:10:w;3:5:a;0:7:v;12:10:p
2:6:x;14:1:j;9:14:e;4:8:i;6:3:t;14:10:b
1:1:x;12:2:x;1:10:a;2:7:e;4:7:t;10:10:a
6:0:b;10:1:s;4:10:j;4:4:h;6:9:l;11:12:h
1:5:n;13:3:m;5:13:j;2:9:u;5:7:p;14:12:z
9:6:u;11:8:b;1:11:h;5:6:o;0:1:p;12:14:g
7:6:w;13:9:q;0:12:i;4:7:j;4:3:z;12:13:r
